"","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","gene","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"41",0,-1.79205833519721,0.699,0.944,0,"GNB1",1.50597058707403e-236,1.49017415234137,0.699,0.608,5.51200294574966e-232
"42",0,-1.72332424855172,0.683,0.927,0,"PPP2R2B",0,-1.20432335260544,0.683,0.983,0
"43",0,-1.31909925342322,0.578,0.815,0,"AP000462.1",1.12181049408305e-110,1.42398143897048,0.578,0.53,4.10593858939336e-106
"44",0,1.22047237812304,0.935,0.699,0,"DST",1.16063074936692e-197,-0.474736393309081,0.935,0.995,4.24802460575787e-193
"45",0,-0.985464192762765,0.748,0.971,0,"MT-CO3",8.2347753516596e-92,-0.406353260276012,0.748,0.883,3.01401012646093e-87
"46",0,-1.28603395826562,0.582,0.803,0,"RGS9",0,-1.16905699541038,0.582,0.937,0
"47",0,-1.087545275756,0.769,0.99,0,"GNGT1",0,2.10880994148504,0.769,0.364,0
"48",0,-0.98671402418546,0.744,0.964,0,"MT-CYB",9.38612760171489e-149,-0.683906412944965,0.744,0.876,3.43541656350367e-144
"49",0,0.964932769178356,0.922,0.705,0,"ATP5ME",4.35378861170923e-53,-0.223083954168715,0.922,0.99,1.59353016977169e-48
"50",0,1.1170760949718,0.934,0.719,0,"NDUFV2",1.86403005827065e-111,-0.303226004404057,0.934,0.995,6.82253641627639e-107
"51",0,-1.19489244592075,0.73,0.945,0,"GPR160",3.54447235698243e-111,0.98404689424883,0.73,0.791,1.29731232737914e-106
"52",0,-0.868179959551013,0.756,0.971,0,"MT-CO2",1.03696384169926e-152,-0.696980721977052,0.756,0.886,3.79539135700348e-148
"53",0,0.872856780923628,0.912,0.702,0,"UQCR11",0.000188707025386602,-0.0164989632729884,0.912,0.984,1
"54",0,0.944312708018651,0.885,0.676,0,"TRAPPC5",1.67369077608188e-42,-0.196761723340514,0.885,0.978,6.12587560953729e-38
"55",0,-1.24942577964113,0.572,0.765,0,"PRCD",0,-1.23738102559505,0.572,0.88,0
"56",0,-1.24383134873802,0.662,0.851,0,"BBS9",8.89650842867118e-09,0.357781492043577,0.662,0.753,0.000325621104997794
"57",0,-1.35928434561275,0.616,0.804,0,"PDCD4",4.45731278225905e-75,0.877826340588639,0.616,0.625,1.63142105143463e-70
"58",0,-1.2598057091138,0.757,0.938,0,"FAM161A",1.08805728575267e-182,0.940077706763511,0.757,0.654,3.98239847158335e-178
"59",0,-1.17613403312624,0.687,0.861,0,"PROM1",0,-1.22309912189086,0.687,0.977,0
"60",0,-1.29162878200363,0.749,0.917,0,"SGIP1",6.22446097936238e-234,-0.62306181029554,0.749,0.966,2.27821496305642e-229
"61",0,1.16064393302284,0.969,0.801,0,"KIF5B",0,1.01897698761448,0.969,0.973,0
"62",0,-1.2694882411357,0.818,0.982,0,"MT-ATP6",1.02448859745265e-149,-0.629740857378265,0.818,0.92,3.74973071553645e-145
"63",0,0.813613777694589,0.96,0.796,0,"ATP5MPL",4.55586935894105e-06,0.0944626698064037,0.96,0.994,0.166749374406601
"64",0,0.774311034006169,0.949,0.801,0,"PPA1",0,-0.850255751491523,0.949,0.998,0
"65",0,-1.08336144186768,0.734,0.872,0,"COBLL1",2.29996007866853e-116,-0.418128267888848,0.734,0.942,8.4180838839347e-112
"66",0,-1.23689812797552,0.851,0.977,0,"MARCH1",6.65207864984301e-05,0.156180027968103,0.851,0.903,1
"67",0,-0.951035661919899,0.786,0.911,0,"USH2A",0.0338781125119214,0.0663377173980089,0.786,0.896,1
"68",0,-1.29727264808732,0.676,0.801,0,"SYNE2",1.25564446085531e-55,-0.312803434766028,0.676,0.869,4.59578429117653e-51
"69",0,-0.961598925268938,0.82,0.927,0,"TMEM108",6.84520122183883e-251,-0.699171877751514,0.82,0.972,2.50541209920523e-246
"70",0,-0.990502966765721,0.837,0.944,0,"PRPH2",0.0217474893735371,0.037995609938678,0.837,0.946,1
"71",0,0.779583909337948,0.958,0.854,0,"COX8A",0.0446871507903409,0.061137625234517,0.958,0.997,1
"72",0,-0.93976415586463,0.839,0.939,0,"PPFIA2",3.95938750281635e-58,-0.235917835552937,0.839,0.966,1.44917541990581e-53
"73",0,-0.971395576500753,0.864,0.957,0,"DMD",0.0115036475206716,-0.0155791590224039,0.864,0.932,1
"74",0,0.791676454854357,0.966,0.874,0,"COX6C",9.50692714063222e-28,-0.115686675761202,0.966,0.999,3.4796304027428e-23
"75",0,-0.826447051719318,0.828,0.914,0,"MAK",1.19822208033091e-164,-0.46631245059906,0.828,0.975,4.38561263621917e-160
"76",0,0.812392645123243,0.981,0.901,0,"PLCG2",0,1.5231192601046,0.981,0.954,0
"77",0,0.870538455417778,0.987,0.907,0,"ATP5F1E",1.53076042863924e-20,0.152307147533539,0.987,0.999,5.60273624486249e-16
"78",0,-1.40223477521499,0.921,0.998,0,"RP1",1.15172157864847e-59,0.415461199869693,0.921,0.967,4.21541615001127e-55
"79",0,-0.771809509193922,0.93,0.999,0,"ROM1",0,2.46022102545895,0.93,0.776,0
"80",0,0.850923285809213,0.981,0.92,0,"HSP90AB1",1.24203580413129e-24,0.25317892363415,0.981,0.997,4.54597524670093e-20
